VAR,Variable,ICU_Type,Statistics_Type,Measure,COU,Country,Continent,Year,OBS_VALUE
ICUBNEON,Total neonatal ICU beds,Neonatal ICU,Total,Per 100 000 population,CZE,Czechia,Europe,2020,4.67
ICUBCAVG,Critical care adult beds (average),Critical Care Adult ICU,Average,Per 100 000 population,CZE,Czechia,Europe,2020,7.8
ICUBCAVG,Critical care adult beds (average),Critical Care Adult ICU,Average,Per 1 000 population,JPN,Japan,Asia,2020,0.09
ICUORAVG,Total adult ICU occupancy rate (average),Adult ICU,Occupancy Rate,% of available beds,FRA,France,Europe,2020,82.78
ICUBNEON,Total neonatal ICU beds,Neonatal ICU,Total,Per 1 000 population,JPN,Japan,Asia,2020,0.05
ICUBTOTA,Total ICU beds (average),Total ICU Beds,Average,Per 1 000 population,AUT,Austria,Europe,2020,0.28
ICUBPAED,Total paediatric ICU beds,Paediatric ICU,Total,Per 1 000 population,CHE,Switzerland,Europe,2020,0.01
ICUBTOTA,Total ICU beds (average),Total ICU Beds,Average,Per 100 000 population,DEU,Germany,Europe,2020,33.19
ICUBNEON,Total neonatal ICU beds,Neonatal ICU,Total,Per 100 000 population,KOR,Korea,Asia,2020,3.61
ICUBAAVG,Total adult ICU beds (average),Adult ICU,Average,Per 100 000 population,CAN,Canada,North America,2020,12.3
ICUBCAVG,Critical care adult beds (average),Critical Care Adult ICU,Average,Per 1 000 population,ISR,Israel,Asia,2020,0.1
ICUBAAVG,Total adult ICU beds (average),Adult ICU,Average,Per 100 000 population,PRT,Portugal,Europe,2020,11.64
ICUBAAVG,Total adult ICU beds (average),Adult ICU,Average,Per 1 000 population,KOR,Korea,Asia,2020,0.17
ICUORMAX,Total adult ICU occupancy rate (maximum),Adult ICU,Occupancy Rate,% of available beds,CZE,Czechia,Europe,2020,63.7
ICUBPAED,Total paediatric ICU beds,Paediatric ICU,Total,Per 100 000 population,TUR,Türkiye,Asia,2020,2.35
ICUBAAVG,Total adult ICU beds (average),Adult ICU,Average,Per 1 000 population,AUS,Australia,Oceania,2020,0.08
ICUBTOTA,Total ICU beds (average),Total ICU Beds,Average,Per 1 000 population,PRT,Portugal,Europe,2020,0.15
ICUBNEON,Total neonatal ICU beds,Neonatal ICU,Total,Per 1 000 population,TUR,Türkiye,Asia,2020,0.16
ICUORAVG,Total adult ICU occupancy rate (average),Adult ICU,Occupancy Rate,% of available beds,CHE,Switzerland,Europe,2020,77.47
ICUBCAVG,Critical care adult beds (average),Critical Care Adult ICU,Average,Per 1 000 population,TUR,Türkiye,Asia,2020,0.34
ICUBPAED,Total paediatric ICU beds,Paediatric ICU,Total,Per 100 000 population,USA,United States,North America,2020,1.5
ICUBTOTA,Total ICU beds (average),Total ICU Beds,Average,Per 100 000 population,HUN,Hungary,Europe,2020,20.89
ICUBPAED,Total paediatric ICU beds,Paediatric ICU,Total,Per 1 000 population,PRT,Portugal,Europe,2020,0.01
ICUBPAED,Total paediatric ICU beds,Paediatric ICU,Total,Per 100 000 population,HUN,Hungary,Europe,2020,2.04
ICUBAMAX,Total adult ICU beds (maximum),Adult ICU,Maximum,Per 100 000 population,HUN,Hungary,Europe,2020,16.87
ICUBPAED,Total paediatric ICU beds,Paediatric ICU,Total,Per 1 000 population,FRA,France,Europe,2020,0.02
ICUBNEON,Total neonatal ICU beds,Neonatal ICU,Total,Per 1 000 population,USA,United States,North America,2020,0.07
ICUBTOTA,Total ICU beds (average),Total ICU Beds,Average,Per 100 000 population,TUR,Türkiye,Asia,2020,57.2
ICUBCAVG,Critical care adult beds (average),Critical Care Adult ICU,Average,Per 1 000 population,USA,United States,North America,2020,0.05
ICUBAMAX,Total adult ICU beds (maximum),Adult ICU,Maximum,Per 100 000 population,ISR,Israel,Asia,2020,10.3
ICUBNEON,Total neonatal ICU beds,Neonatal ICU,Total,Per 1 000 population,HUN,Hungary,Europe,2020,0.05
ICUBCAVG,Critical care adult beds (average),Critical Care Adult ICU,Average,Per 100 000 population,LVA,Latvia,Europe,2020,12.73
ICUBNEON,Total neonatal ICU beds,Neonatal ICU,Total,Per 1 000 population,CRI,Costa Rica,North America,2020,0.01
ICUBTOTA,Total ICU beds (average),Total ICU Beds,Average,Per 100 000 population,ISR,Israel,Asia,2020,20.81
ICUBTOTA,Total ICU beds (average),Total ICU Beds,Average,Per 1 000 population,CAN,Canada,North America,2020,0.17
ICUBAAVG,Total adult ICU beds (average),Adult ICU,Average,Per 100 000 population,LTU,Lithuania,Europe,2020,22.22
ICUBAAVG,Total adult ICU beds (average),Adult ICU,Average,Per 1 000 population,AUT,Austria,Europe,2020,0.22
ICUBPAED,Total paediatric ICU beds,Paediatric ICU,Total,Per 100 000 population,ISR,Israel,Asia,2020,1.79
ICUBPAED,Total paediatric ICU beds,Paediatric ICU,Total,Per 1 000 population,USA,United States,North America,2020,0.02
ICUBCAVG,Critical care adult beds (average),Critical Care Adult ICU,Average,Per 1 000 population,ITA,Italy,Europe,2020,0.12
ICUBAAVG,Total adult ICU beds (average),Adult ICU,Average,Per 1 000 population,CHE,Switzerland,Europe,2020,0.1
ICUBNEON,Total neonatal ICU beds,Neonatal ICU,Total,Per 1 000 population,ESP,Spain,Europe,2020,0.02
ICUBTOTA,Total ICU beds (average),Total ICU Beds,Average,Per 1 000 population,LTU,Lithuania,Europe,2020,0.26
ICUBNEON,Total neonatal ICU beds,Neonatal ICU,Total,Per 1 000 population,ISR,Israel,Asia,2020,0.09
ICUBAAVG,Total adult ICU beds (average),Adult ICU,Average,Per 100 000 population,FRA,France,Europe,2020,28.23
ICUBCMAX,Critical care adult beds (maximum),Critical Care Adult ICU,Maximum,Per 100 000 population,NLD,Netherlands,Europe,2020,13.76
ICUORAVG,Total adult ICU occupancy rate (average),Adult ICU,Occupancy Rate,% of available beds,FIN,Finland,Europe,2020,57.4
ICUBTOTA,Total ICU beds (average),Total ICU Beds,Average,Per 1 000 population,FRA,France,Europe,2020,0.33
ICUBPAED,Total paediatric ICU beds,Paediatric ICU,Total,Per 1 000 population,CZE,Czechia,Europe,2020,0.04
ICUBCAVG,Critical care adult beds (average),Critical Care Adult ICU,Average,Per 1 000 population,ESP,Spain,Europe,2020,0.12
ICUBCAVG,Critical care adult beds (average),Critical Care Adult ICU,Average,Per 100 000 population,AUT,Austria,Europe,2020,13.32
ICUBCAVG,Critical care adult beds (average),Critical Care Adult ICU,Average,Per 100 000 population,CHE,Switzerland,Europe,2020,8.23
ICUBAAVG,Total adult ICU beds (average),Adult ICU,Average,Per 100 000 population,AUS,Australia,Oceania,2020,8.1
ICUBCAVG,Critical care adult beds (average),Critical Care Adult ICU,Average,Per 100 000 population,AUS,Australia,Oceania,2020,7.52
ICUBTOTA,Total ICU beds (average),Total ICU Beds,Average,Per 100 000 population,FRA,France,Europe,2017,31.78
ICUORAVG,Total adult ICU occupancy rate (average),Adult ICU,Occupancy Rate,% of available beds,LTU,Lithuania,Europe,2017,63.41
ICUBCMAX,Critical care adult beds (maximum),Critical Care Adult ICU,Maximum,Per 100 000 population,ISR,Israel,Asia,2017,9.62
ICUBPAED,Total paediatric ICU beds,Paediatric ICU,Total,Per 100 000 population,FRA,France,Europe,2017,1.67
ICUBCAVG,Critical care adult beds (average),Critical Care Adult ICU,Average,Per 1 000 population,FRA,France,Europe,2017,0.16
ICUBTOTA,Total ICU beds (average),Total ICU Beds,Average,Per 1 000 population,MEX,Mexico,North America,2017,0.07
ICUBAAVG,Total adult ICU beds (average),Adult ICU,Average,Per 100 000 population,ISR,Israel,Asia,2017,9.98
ICUBNEON,Total neonatal ICU beds,Neonatal ICU,Total,Per 1 000 population,FRA,France,Europe,2017,0.03
ICUBTOTA,Total ICU beds (average),Total ICU Beds,Average,Per 100 000 population,CAN,Canada,North America,2017,16.82
ICUBPAED,Total paediatric ICU beds,Paediatric ICU,Total,Per 100 000 population,AUS,Australia,Oceania,2017,0.49
ICUBTOTA,Total ICU beds (average),Total ICU Beds,Average,Per 1 000 population,ISR,Israel,Asia,2017,0.21
ICUBAAVG,Total adult ICU beds (average),Adult ICU,Average,Per 1 000 population,TUR,Türkiye,Asia,2017,0.28
ICUBPAED,Total paediatric ICU beds,Paediatric ICU,Total,Per 1 000 population,ISR,Israel,Asia,2017,0.02
ICUBNEON,Total neonatal ICU beds,Neonatal ICU,Total,Per 100 000 population,PRT,Portugal,Europe,2017,2.47
ICUBTOTA,Total ICU beds (average),Total ICU Beds,Average,Per 1 000 population,DEU,Germany,Europe,2017,0.34
ICUBAMAX,Total adult ICU beds (maximum),Adult ICU,Maximum,Per 1 000 population,ISR,Israel,Asia,2017,0.1
ICUBAAVG,Total adult ICU beds (average),Adult ICU,Average,Per 100 000 population,DEU,Germany,Europe,2017,30.37
ICUBCAVG,Critical care adult beds (average),Critical Care Adult ICU,Average,Per 100 000 population,NLD,Netherlands,Europe,2017,6.95
ICUBAAVG,Total adult ICU beds (average),Adult ICU,Average,Per 100 000 population,HUN,Hungary,Europe,2017,11.43
ICUBCAVG,Critical care adult beds (average),Critical Care Adult ICU,Average,Per 100 000 population,TUR,Türkiye,Asia,2017,23.4
ICUBNEON,Total neonatal ICU beds,Neonatal ICU,Total,Per 100 000 population,AUT,Austria,Europe,2017,3.34
ICUBCAVG,Critical care adult beds (average),Critical Care Adult ICU,Average,Per 1 000 population,CHE,Switzerland,Europe,2017,0.07
ICUBCAVG,Critical care adult beds (average),Critical Care Adult ICU,Average,Per 100 000 population,JPN,Japan,Asia,2017,9.31
ICUORAVG,Total adult ICU occupancy rate (average),Adult ICU,Occupancy Rate,% of available beds,TUR,Türkiye,Asia,2017,72.57
ICUBPAED,Total paediatric ICU beds,Paediatric ICU,Total,Per 1 000 population,LTU,Lithuania,Europe,2017,0.03
ICUBPAED,Total paediatric ICU beds,Paediatric ICU,Total,Per 100 000 population,CHE,Switzerland,Europe,2017,1.34
ICUBAAVG,Total adult ICU beds (average),Adult ICU,Average,Per 1 000 population,JPN,Japan,Asia,2017,0.13
ICUORAVG,Total adult ICU occupancy rate (average),Adult ICU,Occupancy Rate,% of available beds,IRL,Ireland,Europe,2017,91
ICUBCMAX,Critical care adult beds (maximum),Critical Care Adult ICU,Maximum,Per 100 000 population,FIN,Finland,Europe,2017,5.45
ICUORAVG,Total adult ICU occupancy rate (average),Adult ICU,Occupancy Rate,% of available beds,ISR,Israel,Asia,2017,73.3
ICUBPAED,Total paediatric ICU beds,Paediatric ICU,Total,Per 1 000 population,DEU,Germany,Europe,2017,0.01
ICUBCAVG,Critical care adult beds (average),Critical Care Adult ICU,Average,Per 1 000 population,NLD,Netherlands,Europe,2017,0.07
ICUORAVG,Total adult ICU occupancy rate (average),Adult ICU,Occupancy Rate,% of available beds,AUS,Australia,Oceania,2017,68.2
ICUBAAVG,Total adult ICU beds (average),Adult ICU,Average,Per 100 000 population,TUR,Türkiye,Asia,2017,28.3
ICUBTOTA,Total ICU beds (average),Total ICU Beds,Average,Per 1 000 population,TUR,Türkiye,Asia,2017,0.45
ICUORAVG,Total adult ICU occupancy rate (average),Adult ICU,Occupancy Rate,% of available beds,NLD,Netherlands,Europe,2017,69
ICUBCAVG,Critical care adult beds (average),Critical Care Adult ICU,Average,Per 100 000 population,ESP,Spain,Europe,2017,10.24
ICUBNEON,Total neonatal ICU beds,Neonatal ICU,Total,Per 100 000 population,ESP,Spain,Europe,2017,1.7
ICUBPAED,Total paediatric ICU beds,Paediatric ICU,Total,Per 100 000 population,AUT,Austria,Europe,2017,2.48
ICUBTOTA,Total ICU beds (average),Total ICU Beds,Average,Per 100 000 population,AUT,Austria,Europe,2017,27.61
ICUORAVG,Total adult ICU occupancy rate (average),Adult ICU,Occupancy Rate,% of available beds,LVA,Latvia,Europe,2017,69.41
ICUBNEON,Total neonatal ICU beds,Neonatal ICU,Total,Per 1 000 population,AUT,Austria,Europe,2017,0.03
ICUBCAVG,Critical care adult beds (average),Critical Care Adult ICU,Average,Per 1 000 population,AUT,Austria,Europe,2017,0.13
ICUBAAVG,Total adult ICU beds (average),Adult ICU,Average,Per 1 000 population,LTU,Lithuania,Europe,2017,0.21
ICUBCAVG,Critical care adult beds (average),Critical Care Adult ICU,Average,Per 1 000 population,LVA,Latvia,Europe,2017,0.1
ICUBCAVG,Critical care adult beds (average),Critical Care Adult ICU,Average,Per 100 000 population,ISR,Israel,Asia,2017,9.46
ICUBNEON,Total neonatal ICU beds,Neonatal ICU,Total,Per 100 000 population,ISR,Israel,Asia,2017,9.09
ICUBCAVG,Critical care adult beds (average),Critical Care Adult ICU,Average,Per 100 000 population,FRA,France,Europe,2017,16.31
ICUORAVG,Total adult ICU occupancy rate (average),Adult ICU,Occupancy Rate,% of available beds,AUT,Austria,Europe,2017,74.51
ICUBTOTA,Total ICU beds (average),Total ICU Beds,Average,Per 1 000 population,EST,Estonia,Europe,2017,0.38
ICUBNEON,Total neonatal ICU beds,Neonatal ICU,Total,Per 100 000 population,FRA,France,Europe,2017,2.89
ICUBAAVG,Total adult ICU beds (average),Adult ICU,Average,Per 1 000 population,ISR,Israel,Asia,2017,0.1
ICUBAMAX,Total adult ICU beds (maximum),Adult ICU,Maximum,Per 100 000 population,NLD,Netherlands,Europe,2017,12
ICUBCMAX,Critical care adult beds (maximum),Critical Care Adult ICU,Maximum,Per 1 000 population,ISR,Israel,Asia,2017,0.1
ICUBCAVG,Critical care adult beds (average),Critical Care Adult ICU,Average,Per 1 000 population,AUS,Australia,Oceania,2017,0.07
ICUBNEON,Total neonatal ICU beds,Neonatal ICU,Total,Per 1 000 population,CAN,Canada,North America,2017,0.04
ICUBAAVG,Total adult ICU beds (average),Adult ICU,Average,Per 1 000 population,DEU,Germany,Europe,2017,0.3
ICUBTOTA,Total ICU beds (average),Total ICU Beds,Average,Per 1 000 population,JPN,Japan,Asia,2017,0.18
ICUBPAED,Total paediatric ICU beds,Paediatric ICU,Total,Per 100 000 population,CAN,Canada,North America,2017,0.61
ICUBAAVG,Total adult ICU beds (average),Adult ICU,Average,Per 1 000 population,PRT,Portugal,Europe,2017,0.08
ICUBNEON,Total neonatal ICU beds,Neonatal ICU,Total,Per 100 000 population,DEU,Germany,Europe,2017,2.37
ICUBTOTA,Total ICU beds (average),Total ICU Beds,Average,Per 100 000 population,MEX,Mexico,North America,2017,6.94
ICUBNEON,Total neonatal ICU beds,Neonatal ICU,Total,Per 100 000 population,TUR,Türkiye,Asia,2017,14.92
ICUBAAVG,Total adult ICU beds (average),Adult ICU,Average,Per 100 000 population,JPN,Japan,Asia,2017,13.31
ICUBNEON,Total neonatal ICU beds,Neonatal ICU,Total,Per 1 000 population,PRT,Portugal,Europe,2017,0.02
ICUORAVG,Total adult ICU occupancy rate (average),Adult ICU,Occupancy Rate,% of available beds,PRT,Portugal,Europe,2017,62.27
ICUBNEON,Total neonatal ICU beds,Neonatal ICU,Total,Per 1 000 population,DEU,Germany,Europe,2017,0.02
ICUBAAVG,Total adult ICU beds (average),Adult ICU,Average,Per 1 000 population,CAN,Canada,North America,2017,0.12
ICUBNEON,Total neonatal ICU beds,Neonatal ICU,Total,Per 100 000 population,JPN,Japan,Asia,2017,4.7
ICUBAAVG,Total adult ICU beds (average),Adult ICU,Average,Per 1 000 population,FRA,France,Europe,2017,0.27
ICUORAVG,Total adult ICU occupancy rate (average),Adult ICU,Occupancy Rate,% of available beds,DEU,Germany,Europe,2017,80.1
ICUBPAED,Total paediatric ICU beds,Paediatric ICU,Total,Per 100 000 population,DEU,Germany,Europe,2017,1.16
ICUBNEON,Total neonatal ICU beds,Neonatal ICU,Total,Per 100 000 population,CAN,Canada,North America,2017,4.22
ICUBAAVG,Total adult ICU beds (average),Adult ICU,Average,Per 1 000 population,HUN,Hungary,Europe,2017,0.11
ICUBPAED,Total paediatric ICU beds,Paediatric ICU,Total,Per 1 000 population,TUR,Türkiye,Asia,2017,0.02
ICUBTOTA,Total ICU beds (average),Total ICU Beds,Average,Per 100 000 population,PRT,Portugal,Europe,2017,11.49
ICUBTOTA,Total ICU beds (average),Total ICU Beds,Average,Per 100 000 population,LTU,Lithuania,Europe,2017,24.15
ICUBPAED,Total paediatric ICU beds,Paediatric ICU,Total,Per 100 000 population,PRT,Portugal,Europe,2017,0.66
ICUBCMAX,Critical care adult beds (maximum),Critical Care Adult ICU,Maximum,Per 1 000 population,FIN,Finland,Europe,2017,0.05
ICUBTOTA,Total ICU beds (average),Total ICU Beds,Average,Per 100 000 population,EST,Estonia,Europe,2017,37.78
ICUBPAED,Total paediatric ICU beds,Paediatric ICU,Total,Per 1 000 population,CAN,Canada,North America,2017,0.01
ICUBPAED,Total paediatric ICU beds,Paediatric ICU,Total,Per 1 000 population,AUT,Austria,Europe,2017,0.02
ICUBTOTA,Total ICU beds (average),Total ICU Beds,Average,Per 100 000 population,JPN,Japan,Asia,2017,18.08
ICUBAAVG,Total adult ICU beds (average),Adult ICU,Average,Per 100 000 population,AUT,Austria,Europe,2017,21.79
ICUBCAVG,Critical care adult beds (average),Critical Care Adult ICU,Average,Per 100 000 population,ITA,Italy,Europe,2017,8.32
ICUORMAX,Total adult ICU occupancy rate (maximum),Adult ICU,Occupancy Rate,% of available beds,ISR,Israel,Asia,2017,78.89
ICUBPAED,Total paediatric ICU beds,Paediatric ICU,Total,Per 100 000 population,JPN,Japan,Asia,2017,0.07
ICUBAAVG,Total adult ICU beds (average),Adult ICU,Average,Per 100 000 population,CHE,Switzerland,Europe,2017,9.91
ICUBPAED,Total paediatric ICU beds,Paediatric ICU,Total,Per 100 000 population,LTU,Lithuania,Europe,2017,3.46
ICUBTOTA,Total ICU beds (average),Total ICU Beds,Average,Per 1 000 population,AUT,Austria,Europe,2017,0.28
ICUBCAVG,Critical care adult beds (average),Critical Care Adult ICU,Average,Per 1 000 population,JPN,Japan,Asia,2017,0.09
ICUORAVG,Total adult ICU occupancy rate (average),Adult ICU,Occupancy Rate,% of available beds,FRA,France,Europe,2017,84.45
ICUBNEON,Total neonatal ICU beds,Neonatal ICU,Total,Per 1 000 population,JPN,Japan,Asia,2017,0.05
ICUBPAED,Total paediatric ICU beds,Paediatric ICU,Total,Per 1 000 population,CHE,Switzerland,Europe,2017,0.01
ICUBTOTA,Total ICU beds (average),Total ICU Beds,Average,Per 100 000 population,DEU,Germany,Europe,2017,33.91
ICUBCAVG,Critical care adult beds (average),Critical Care Adult ICU,Average,Per 100 000 population,AUS,Australia,Oceania,2017,7.16
ICUBCAVG,Critical care adult beds (average),Critical Care Adult ICU,Average,Per 1 000 population,IRL,Ireland,Europe,2017,0.05
ICUBAAVG,Total adult ICU beds (average),Adult ICU,Average,Per 100 000 population,CAN,Canada,North America,2017,11.99
ICUBCAVG,Critical care adult beds (average),Critical Care Adult ICU,Average,Per 1 000 population,ISR,Israel,Asia,2017,0.09
ICUBAAVG,Total adult ICU beds (average),Adult ICU,Average,Per 100 000 population,PRT,Portugal,Europe,2017,8.37
ICUBPAED,Total paediatric ICU beds,Paediatric ICU,Total,Per 100 000 population,TUR,Türkiye,Asia,2017,1.9
ICUBAAVG,Total adult ICU beds (average),Adult ICU,Average,Per 1 000 population,AUS,Australia,Oceania,2017,0.08
ICUBTOTA,Total ICU beds (average),Total ICU Beds,Average,Per 1 000 population,PRT,Portugal,Europe,2017,0.11
ICUBNEON,Total neonatal ICU beds,Neonatal ICU,Total,Per 1 000 population,TUR,Türkiye,Asia,2017,0.15
ICUORAVG,Total adult ICU occupancy rate (average),Adult ICU,Occupancy Rate,% of available beds,CHE,Switzerland,Europe,2017,78.07
ICUBCAVG,Critical care adult beds (average),Critical Care Adult ICU,Average,Per 1 000 population,TUR,Türkiye,Asia,2017,0.23
ICUBPAED,Total paediatric ICU beds,Paediatric ICU,Total,Per 1 000 population,PRT,Portugal,Europe,2017,0.01
ICUBPAED,Total paediatric ICU beds,Paediatric ICU,Total,Per 1 000 population,FRA,France,Europe,2017,0.02
ICUBTOTA,Total ICU beds (average),Total ICU Beds,Average,Per 100 000 population,TUR,Türkiye,Asia,2017,45.12
ICUBNEON,Total neonatal ICU beds,Neonatal ICU,Total,Per 1 000 population,ISR,Israel,Asia,2017,0.09
ICUBCAVG,Critical care adult beds (average),Critical Care Adult ICU,Average,Per 100 000 population,LVA,Latvia,Europe,2017,9.53
ICUBTOTA,Total ICU beds (average),Total ICU Beds,Average,Per 100 000 population,ISR,Israel,Asia,2017,20.72
ICUBTOTA,Total ICU beds (average),Total ICU Beds,Average,Per 1 000 population,CAN,Canada,North America,2017,0.17
ICUBAMAX,Total adult ICU beds (maximum),Adult ICU,Maximum,Per 100 000 population,ISR,Israel,Asia,2017,10.18
ICUBAAVG,Total adult ICU beds (average),Adult ICU,Average,Per 100 000 population,LTU,Lithuania,Europe,2017,20.68
ICUBAAVG,Total adult ICU beds (average),Adult ICU,Average,Per 1 000 population,AUT,Austria,Europe,2017,0.22
ICUBPAED,Total paediatric ICU beds,Paediatric ICU,Total,Per 100 000 population,ISR,Israel,Asia,2017,1.64
ICUBCAVG,Critical care adult beds (average),Critical Care Adult ICU,Average,Per 1 000 population,ITA,Italy,Europe,2017,0.08
ICUBAAVG,Total adult ICU beds (average),Adult ICU,Average,Per 1 000 population,CHE,Switzerland,Europe,2017,0.1
ICUBNEON,Total neonatal ICU beds,Neonatal ICU,Total,Per 1 000 population,ESP,Spain,Europe,2017,0.02
ICUBTOTA,Total ICU beds (average),Total ICU Beds,Average,Per 1 000 population,LTU,Lithuania,Europe,2017,0.24
ICUBAAVG,Total adult ICU beds (average),Adult ICU,Average,Per 100 000 population,FRA,France,Europe,2017,27.22
ICUBCAVG,Critical care adult beds (average),Critical Care Adult ICU,Average,Per 100 000 population,IRL,Ireland,Europe,2017,4.99
ICUBAMAX,Total adult ICU beds (maximum),Adult ICU,Maximum,Per 1 000 population,NLD,Netherlands,Europe,2017,0.12
ICUBTOTA,Total ICU beds (average),Total ICU Beds,Average,Per 1 000 population,FRA,France,Europe,2017,0.32
ICUBCAVG,Critical care adult beds (average),Critical Care Adult ICU,Average,Per 1 000 population,ESP,Spain,Europe,2017,0.1
ICUBCAVG,Critical care adult beds (average),Critical Care Adult ICU,Average,Per 100 000 population,AUT,Austria,Europe,2017,13.22
ICUBCAVG,Critical care adult beds (average),Critical Care Adult ICU,Average,Per 100 000 population,CHE,Switzerland,Europe,2017,7.28
ICUBAAVG,Total adult ICU beds (average),Adult ICU,Average,Per 100 000 population,AUS,Australia,Oceania,2017,7.56
ICUBNEON,Total neonatal ICU beds,Neonatal ICU,Total,Per 1 000 population,GRC,Greece,Europe,2019,0.07
ICUBTOTA,Total ICU beds (average),Total ICU Beds,Average,Per 100 000 population,FRA,France,Europe,2019,31.95
ICUORAVG,Total adult ICU occupancy rate (average),Adult ICU,Occupancy Rate,% of available beds,LTU,Lithuania,Europe,2019,65.55
ICUBCAVG,Critical care adult beds (average),Critical Care Adult ICU,Average,Per 100 000 population,USA,United States,North America,2019,4.82
ICUBTOTA,Total ICU beds (average),Total ICU Beds,Average,Per 1 000 population,HUN,Hungary,Europe,2019,0.19
ICUBCMAX,Critical care adult beds (maximum),Critical Care Adult ICU,Maximum,Per 100 000 population,ISR,Israel,Asia,2019,9.75
ICUBPAED,Total paediatric ICU beds,Paediatric ICU,Total,Per 100 000 population,FRA,France,Europe,2019,1.79
ICUBNEON,Total neonatal ICU beds,Neonatal ICU,Total,Per 100 000 population,USA,United States,North America,2019,6.92
ICUBTOTA,Total ICU beds (average),Total ICU Beds,Average,Per 100 000 population,CAN,Canada,North America,2019,16.99
ICUBCAVG,Critical care adult beds (average),Critical Care Adult ICU,Average,Per 1 000 population,FRA,France,Europe,2019,0.16
ICUBTOTA,Total ICU beds (average),Total ICU Beds,Average,Per 1 000 population,MEX,Mexico,North America,2019,0.07
ICUBAAVG,Total adult ICU beds (average),Adult ICU,Average,Per 1 000 population,USA,United States,North America,2019,0.21
ICUBAAVG,Total adult ICU beds (average),Adult ICU,Average,Per 100 000 population,ISR,Israel,Asia,2019,10.17
ICUBNEON,Total neonatal ICU beds,Neonatal ICU,Total,Per 1 000 population,FRA,France,Europe,2019,0.03
ICUBAMAX,Total adult ICU beds (maximum),Adult ICU,Maximum,Per 1 000 population,HUN,Hungary,Europe,2019,0.11
ICUBPAED,Total paediatric ICU beds,Paediatric ICU,Total,Per 1 000 population,HUN,Hungary,Europe,2019,0.02
ICUBPAED,Total paediatric ICU beds,Paediatric ICU,Total,Per 100 000 population,AUS,Australia,Oceania,2019,0.52
ICUBTOTA,Total ICU beds (average),Total ICU Beds,Average,Per 1 000 population,ISR,Israel,Asia,2019,0.21
ICUBAAVG,Total adult ICU beds (average),Adult ICU,Average,Per 1 000 population,TUR,Türkiye,Asia,2019,0.31
ICUORAVG,Total adult ICU occupancy rate (average),Adult ICU,Occupancy Rate,% of available beds,CHL,Chile,South America,2019,89.41
ICUBPAED,Total paediatric ICU beds,Paediatric ICU,Total,Per 1 000 population,ISR,Israel,Asia,2019,0.02
ICUBNEON,Total neonatal ICU beds,Neonatal ICU,Total,Per 100 000 population,PRT,Portugal,Europe,2019,2.19
ICUBTOTA,Total ICU beds (average),Total ICU Beds,Average,Per 1 000 population,DEU,Germany,Europe,2019,0.32
ICUBAMAX,Total adult ICU beds (maximum),Adult ICU,Maximum,Per 1 000 population,ISR,Israel,Asia,2019,0.1
ICUBAAVG,Total adult ICU beds (average),Adult ICU,Average,Per 100 000 population,DEU,Germany,Europe,2019,28.21
ICUBAAVG,Total adult ICU beds (average),Adult ICU,Average,Per 100 000 population,KOR,Korea,Asia,2019,16.12
ICUBAAVG,Total adult ICU beds (average),Adult ICU,Average,Per 100 000 population,HUN,Hungary,Europe,2019,11.27
ICUBCAVG,Critical care adult beds (average),Critical Care Adult ICU,Average,Per 100 000 population,TUR,Türkiye,Asia,2019,25.56
ICUBTOTA,Total ICU beds (average),Total ICU Beds,Average,Per 1 000 population,KOR,Korea,Asia,2019,0.2
ICUBCAVG,Critical care adult beds (average),Critical Care Adult ICU,Average,Per 1 000 population,GRC,Greece,Europe,2019,0.15
ICUBAAVG,Total adult ICU beds (average),Adult ICU,Average,Per 1 000 population,LUX,Luxembourg,Europe,2019,0.21
ICUBNEON,Total neonatal ICU beds,Neonatal ICU,Total,Per 100 000 population,AUT,Austria,Europe,2019,3.47
ICUBTOTA,Total ICU beds (average),Total ICU Beds,Average,Per 1 000 population,CZE,Czechia,Europe,2019,0.52
ICUBAAVG,Total adult ICU beds (average),Adult ICU,Average,Per 1 000 population,CRI,Costa Rica,North America,2019,0.03
ICUBCAVG,Critical care adult beds (average),Critical Care Adult ICU,Average,Per 1 000 population,CHE,Switzerland,Europe,2019,0.08
ICUBCAVG,Critical care adult beds (average),Critical Care Adult ICU,Average,Per 100 000 population,JPN,Japan,Asia,2019,9.19
ICUORAVG,Total adult ICU occupancy rate (average),Adult ICU,Occupancy Rate,% of available beds,TUR,Türkiye,Asia,2019,74.56
ICUBTOTA,Total ICU beds (average),Total ICU Beds,Average,Per 1 000 population,NZL,New Zealand,Oceania,2019,0.03
ICUBPAED,Total paediatric ICU beds,Paediatric ICU,Total,Per 1 000 population,LTU,Lithuania,Europe,2019,0.03
ICUBPAED,Total paediatric ICU beds,Paediatric ICU,Total,Per 100 000 population,CHE,Switzerland,Europe,2019,1.24
ICUBAAVG,Total adult ICU beds (average),Adult ICU,Average,Per 100 000 population,CZE,Czechia,Europe,2019,43.19
ICUBAAVG,Total adult ICU beds (average),Adult ICU,Average,Per 1 000 population,JPN,Japan,Asia,2019,0.14
ICUORAVG,Total adult ICU occupancy rate (average),Adult ICU,Occupancy Rate,% of available beds,IRL,Ireland,Europe,2019,90
ICUBCMAX,Critical care adult beds (maximum),Critical Care Adult ICU,Maximum,Per 100 000 population,FIN,Finland,Europe,2019,5.43
