Technology_Types,Measure,Country,Year,OBS_VALUE,Log_OBS_VALUE,Availability_Category
Positron Emission Tomography (PET) scanners,Per million population,Chile,2011,0.29,-0.54,Very Low
Gamma cameras,Per million population,Chile,2011,1.62,0.21,Very Low
Mammographs,Per million population,Chile,2011,13.68,1.14,Low
Radiation therapy equipment,Per million population,Chile,2011,1.68,0.23,Very Low
Computed Tomography scanners,Per million population,Estonia,2011,16.57,1.22,Low
Magnetic Resonance Imaging units,Per million population,Estonia,2011,9.79,0.99,Very Low
Positron Emission Tomography (PET) scanners,Per million population,Estonia,2011,2.26,0.35,Very Low
Gamma cameras,Per million population,Estonia,2011,2.26,0.35,Very Low
Radiation therapy equipment,Per million population,Estonia,2011,3.01,0.48,Very Low
Computed Tomography scanners,Per million population,Israel,2011,8.63,0.94,Very Low
Magnetic Resonance Imaging units,Per million population,Israel,2011,2.7,0.43,Very Low
Positron Emission Tomography (PET) scanners,Per million population,Israel,2011,0.77,-0.11,Very Low
Gamma cameras,Per million population,Israel,2011,9.92,1,Very Low
Radiation therapy equipment,Per million population,Israel,2011,3.86,0.59,Very Low
Computed Tomography scanners,Per million population,Russia,2011,7.72,0.89,Very Low
Magnetic Resonance Imaging units,Per million population,Russia,2011,2.62,0.42,Very Low
Positron Emission Tomography (PET) scanners,Per million population,Slovenia,2011,0.97,-0.01,Very Low
Computed Tomography scanners,Per million population,Slovenia,2011,12.67,1.1,Low
Magnetic Resonance Imaging units,Per million population,Slovenia,2011,8.77,0.94,Very Low
Gamma cameras,Per million population,Slovenia,2011,8.28,0.92,Very Low
Mammographs,Per million population,Slovenia,2011,18.02,1.26,Low
Radiation therapy equipment,Per million population,Slovenia,2011,5.85,0.77,Very Low
Magnetic Resonance Imaging units,Number,Latvia,2011,19,1.28,Low
Mammographs,Number,Lithuania,2011,43,1.63,Low
Computed Tomography scanners,Number,Latvia,2011,64,1.81,Low
Radiation therapy equipment,Number,Lithuania,2011,20,1.3,Low
Radiation therapy equipment,Per million population,Latvia,2011,3.88,0.59,Very Low
Mammographs,Per million population,Latvia,2011,23.3,1.37,Low
Radiation therapy equipment,Per million population,Lithuania,2011,6.6,0.82,Very Low
Radiation therapy equipment,Number,Latvia,2011,8,0.9,Very Low
Mammographs,Per million population,Lithuania,2011,14.2,1.15,Low
Computed Tomography scanners,Per million population,Latvia,2011,31.07,1.49,Low
Magnetic Resonance Imaging units,Number,Lithuania,2011,18,1.26,Low
Magnetic Resonance Imaging units,Per million population,Latvia,2011,9.22,0.96,Very Low
Gamma cameras,Per million population,Latvia,2011,2.91,0.46,Very Low
Computed Tomography scanners,Number,Lithuania,2011,61,1.79,Low
Computed Tomography scanners,Per million population,Lithuania,2011,20.14,1.3,Low
Magnetic Resonance Imaging units,Per million population,Lithuania,2011,5.94,0.77,Very Low
Mammographs,Number,Latvia,2011,48,1.68,Low
Gamma cameras,Number,Latvia,2011,6,0.78,Very Low
Gamma cameras,Number,Lithuania,2011,9,0.95,Very Low
Gamma cameras,Per million population,Lithuania,2011,2.97,0.47,Very Low
Magnetic Resonance Imaging units,Number,Colombia,2011,6,0.78,Very Low
Computed Tomography scanners,Number,Colombia,2011,320,2.51,Medium
Computed Tomography scanners,Per million population,Colombia,2011,6.95,0.84,Very Low
Magnetic Resonance Imaging units,Per million population,Colombia,2011,0.13,-0.89,Very Low
Mammographs,Per million population,Romania,2011,5.76,0.76,Very Low
Radiation therapy equipment,Per million population,Romania,2011,4.57,0.66,Very Low
Radiation therapy equipment,Number,Romania,2011,92,1.96,Low
Magnetic Resonance Imaging units,Number,Bulgaria,2011,46,1.66,Low
Positron Emission Tomography (PET) scanners,Number,Bulgaria,2011,2,0.3,Very Low
Computed Tomography scanners,Number,Bulgaria,2011,215,2.33,Medium
Radiation therapy equipment,Per million population,Bulgaria,2011,5.85,0.77,Very Low
Computed Tomography scanners,Per million population,Romania,2011,7.79,0.89,Very Low
Gamma cameras,Number,Bulgaria,2011,19,1.28,Low
Mammographs,Number,Bulgaria,2011,151,2.18,Medium
Magnetic Resonance Imaging units,Per million population,Romania,2011,3.28,0.52,Very Low
Positron Emission Tomography (PET) scanners,Per million population,Romania,2011,0.1,-1,Very Low
Gamma cameras,Per million population,Romania,2011,1.84,0.26,Very Low
Radiation therapy equipment,Number,Bulgaria,2011,43,1.63,Low
Gamma cameras,Per million population,Bulgaria,2011,2.59,0.41,Very Low
Positron Emission Tomography (PET) scanners,Per million population,Bulgaria,2011,0.27,-0.57,Very Low
Positron Emission Tomography (PET) scanners,Number,Romania,2011,2,0.3,Very Low
Gamma cameras,Number,Romania,2011,37,1.57,Low
Mammographs,Per million population,Bulgaria,2011,20.55,1.31,Low
Mammographs,Number,Romania,2011,116,2.06,Medium
Magnetic Resonance Imaging units,Per million population,Bulgaria,2011,6.26,0.8,Very Low
Computed Tomography scanners,Per million population,Bulgaria,2011,29.26,1.47,Low
Magnetic Resonance Imaging units,Number,Romania,2011,66,1.82,Low
Computed Tomography scanners,Number,Romania,2011,157,2.2,Medium
Computed Tomography scanners,Number,Australia,2018,1681,3.23,High
Magnetic Resonance Imaging units,Number,Australia,2018,352,2.55,Medium
Positron Emission Tomography (PET) scanners,Number,Australia,2018,96,1.98,Low
Gamma cameras,Number,Australia,2018,470,2.67,Medium
Mammographs,Number,Australia,2018,593,2.77,Medium
Radiation therapy equipment,Number,Australia,2018,265,2.42,Medium
Computed Tomography scanners,Number,Austria,2018,255,2.41,Medium
Magnetic Resonance Imaging units,Number,Austria,2018,208,2.32,Medium
Positron Emission Tomography (PET) scanners,Number,Austria,2018,24,1.38,Low
Gamma cameras,Number,Austria,2018,93,1.97,Low
Mammographs,Number,Austria,2018,190,2.28,Medium
Radiation therapy equipment,Number,Austria,2018,46,1.66,Low
Computed Tomography scanners,Number,Belgium,2018,273,2.44,Medium
Magnetic Resonance Imaging units,Number,Belgium,2018,133,2.12,Medium
Positron Emission Tomography (PET) scanners,Number,Belgium,2018,30,1.48,Low
Gamma cameras,Number,Belgium,2018,283,2.45,Medium
Mammographs,Number,Belgium,2018,412,2.61,Medium
Mammographs,Number,Canada,2018,669,2.83,Medium
Radiation therapy equipment,Number,Canada,2018,111,2.05,Medium
Computed Tomography scanners,Number,Czechia,2018,171,2.23,Medium
Magnetic Resonance Imaging units,Number,Czechia,2018,110,2.04,Medium
Positron Emission Tomography (PET) scanners,Number,Czechia,2018,17,1.23,Low
Gamma cameras,Number,Czechia,2018,127,2.1,Medium
Mammographs,Number,Czechia,2018,119,2.08,Medium
Radiation therapy equipment,Number,Czechia,2018,82,1.91,Low
Computed Tomography scanners,Number,Denmark,2018,230,2.36,Medium
Positron Emission Tomography (PET) scanners,Number,Denmark,2018,46,1.66,Low
Gamma cameras,Number,Denmark,2018,88,1.94,Low
Mammographs,Number,Denmark,2018,95,1.98,Low
Radiation therapy equipment,Number,Denmark,2018,70,1.85,Low
Magnetic Resonance Imaging units,Number,Finland,2018,151,2.18,Medium
Positron Emission Tomography (PET) scanners,Number,Finland,2018,15,1.18,Low
Mammographs,Number,Finland,2018,156,2.19,Medium
Radiation therapy equipment,Number,Finland,2018,57,1.76,Low
Computed Tomography scanners,Number,France,2018,1184,3.07,High
Magnetic Resonance Imaging units,Number,France,2018,989,3,Medium
Positron Emission Tomography (PET) scanners,Number,France,2018,156,2.19,Medium
Gamma cameras,Number,France,2018,466,2.67,Medium
Computed Tomography scanners,Number,Germany,2018,2929,3.47,High
Magnetic Resonance Imaging units,Number,Germany,2018,2858,3.46,High
Computed Tomography scanners,Number,Greece,2018,436,2.64,Medium
Magnetic Resonance Imaging units,Number,Greece,2018,315,2.5,Medium
Positron Emission Tomography (PET) scanners,Number,Greece,2018,13,1.11,Low
Gamma cameras,Number,Greece,2018,149,2.17,Medium
Mammographs,Number,Greece,2018,708,2.85,Medium
Radiation therapy equipment,Number,Greece,2018,77,1.89,Low
Positron Emission Tomography (PET) scanners,Number,Hungary,2018,9,0.95,Very Low
Computed Tomography scanners,Number,Iceland,2018,17,1.23,Low
Magnetic Resonance Imaging units,Number,Iceland,2018,7,0.85,Very Low
Positron Emission Tomography (PET) scanners,Number,Iceland,2018,1,0,Very Low
Gamma cameras,Number,Iceland,2018,3,0.48,Very Low
Radiation therapy equipment,Number,Iceland,2018,3,0.48,Very Low
Mammographs,Number,Iceland,2018,6,0.78,Very Low
Computed Tomography scanners,Number,Ireland,2018,99,2,Low
Magnetic Resonance Imaging units,Number,Ireland,2018,78,1.89,Low
Positron Emission Tomography (PET) scanners,Number,Ireland,2018,9,0.95,Very Low
Gamma cameras,Number,Ireland,2018,23,1.36,Low
Mammographs,Number,Ireland,2018,82,1.91,Low
Radiation therapy equipment,Number,Ireland,2018,49,1.69,Low
Magnetic Resonance Imaging units,Number,Italy,2018,1733,3.24,High
Computed Tomography scanners,Number,Italy,2018,2124,3.33,High
Positron Emission Tomography (PET) scanners,Number,Italy,2018,208,2.32,Medium
Gamma cameras,Number,Italy,2018,463,2.67,Medium
Mammographs,Number,Italy,2018,2047,3.31,High
Radiation therapy equipment,Number,Italy,2018,439,2.64,Medium
Computed Tomography scanners,Number,Korea,2018,1991,3.3,High
Magnetic Resonance Imaging units,Number,Korea,2018,1553,3.19,High
Positron Emission Tomography (PET) scanners,Number,Korea,2018,195,2.29,Medium
Gamma cameras,Number,Korea,2018,306,2.49,Medium
Mammographs,Number,Korea,2018,3179,3.5,High
Radiation therapy equipment,Number,Korea,2018,322,2.51,Medium
Computed Tomography scanners,Number,Luxembourg,2018,10,1,Very Low
Magnetic Resonance Imaging units,Number,Luxembourg,2018,7,0.85,Very Low
Positron Emission Tomography (PET) scanners,Number,Luxembourg,2018,1,0,Very Low
Gamma cameras,Number,Luxembourg,2018,7,0.85,Very Low
Mammographs,Number,Luxembourg,2018,7,0.85,Very Low
Radiation therapy equipment,Number,Luxembourg,2018,5,0.7,Very Low
Computed Tomography scanners,Number,Mexico,2018,742,2.87,Medium
Magnetic Resonance Imaging units,Number,Mexico,2018,320,2.51,Medium
Positron Emission Tomography (PET) scanners,Number,Mexico,2018,27,1.43,Low
Gamma cameras,Number,Mexico,2018,53,1.72,Low
Mammographs,Number,Mexico,2018,1211,3.08,High
Radiation therapy equipment,Number,Mexico,2018,267,2.43,Medium
Computed Tomography scanners,Number,Netherlands,2018,245,2.39,Medium
Magnetic Resonance Imaging units,Number,Netherlands,2018,225,2.35,Medium
Positron Emission Tomography (PET) scanners,Number,Netherlands,2018,81,1.91,Low
Gamma cameras,Number,Netherlands,2018,141,2.15,Medium
Positron Emission Tomography (PET) scanners,Number,New Zealand,2018,5,0.7,Very Low
Computed Tomography scanners,Number,New Zealand,2018,76,1.88,Low
Magnetic Resonance Imaging units,Number,New Zealand,2018,72,1.86,Low
Gamma cameras,Number,New Zealand,2018,18,1.26,Low
Mammographs,Number,New Zealand,2018,97,1.99,Low
Radiation therapy equipment,Number,New Zealand,2018,43,1.63,Low
Computed Tomography scanners,Number,Norway,2018,103,2.01,Medium
Magnetic Resonance Imaging units,Number,Norway,2018,51,1.71,Low
Positron Emission Tomography (PET) scanners,Number,Norway,2018,6,0.78,Very Low
Gamma cameras,Number,Norway,2018,14,1.15,Low
Mammographs,Number,Norway,2018,52,1.72,Low
Radiation therapy equipment,Number,Norway,2018,63,1.8,Low
Computed Tomography scanners,Number,Poland,2018,689,2.84,Medium
Magnetic Resonance Imaging units,Number,Poland,2018,350,2.54,Medium
Positron Emission Tomography (PET) scanners,Number,Poland,2018,33,1.52,Low
Gamma cameras,Number,Poland,2018,140,2.15,Medium
Mammographs,Number,Poland,2018,379,2.58,Medium
Radiation therapy equipment,Number,Poland,2018,196,2.29,Medium
Computed Tomography scanners,Number,Slovak Republic,2018,100,2,Low
Magnetic Resonance Imaging units,Number,Slovak Republic,2018,52,1.72,Low
Positron Emission Tomography (PET) scanners,Number,Slovak Republic,2018,8,0.9,Very Low
Gamma cameras,Number,Slovak Republic,2018,30,1.48,Low
Mammographs,Number,Slovak Republic,2018,100,2,Low
Radiation therapy equipment,Number,Slovak Republic,2018,59,1.77,Low
Computed Tomography scanners,Number,Spain,2018,895,2.95,Medium
Magnetic Resonance Imaging units,Number,Spain,2018,805,2.91,Medium
Positron Emission Tomography (PET) scanners,Number,Spain,2018,84,1.92,Low
Gamma cameras,Number,Spain,2018,309,2.49,Medium
Mammographs,Number,Spain,2018,760,2.88,Medium
Radiation therapy equipment,Number,Spain,2018,235,2.37,Medium
Computed Tomography scanners,Number,Sweden,2018,190,2.28,Medium
Radiation therapy equipment,Number,Sweden,2018,71,1.85,Low
Magnetic Resonance Imaging units,Number,Sweden,2018,144,2.16,Medium
Positron Emission Tomography (PET) scanners,Number,Sweden,2018,19,1.28,Low
Gamma cameras,Number,Sweden,2018,73,1.86,Low
Mammographs,Number,Sweden,2018,137,2.14,Medium
Computed Tomography scanners,Number,Switzerland,2018,330,2.52,Medium
Positron Emission Tomography (PET) scanners,Number,Switzerland,2018,32,1.51,Low
Mammographs,Number,Switzerland,2018,247,2.39,Medium
Radiation therapy equipment,Number,Switzerland,2018,162,2.21,Medium
Computed Tomography scanners,Number,Turkish,2018,1211,3.08,High
Magnetic Resonance Imaging units,Number,Turkish,2018,915,2.96,Medium
Positron Emission Tomography (PET) scanners,Number,Turkish,2018,131,2.12,Medium
Gamma cameras,Number,Turkish,2018,268,2.43,Medium
Mammographs,Number,Turkish,2018,966,2.98,Medium
Radiation therapy equipment,Number,Turkish,2018,224,2.35,Medium
Computed Tomography scanners,Number,United States,2018,14555,4.16,Very High
Magnetic Resonance Imaging units,Number,United States,2018,12820,4.11,Very High
Positron Emission Tomography (PET) scanners,Number,United States,2018,1715,3.23,High
Mammographs,Number,United States,2018,19564,4.29,Very High
Radiation therapy equipment,Number,United States,2018,3780,3.58,High
Computed Tomography scanners,Number,Brazil,2018,4814,3.68,High
Magnetic Resonance Imaging units,Number,Brazil,2018,2578,3.41,High
Computed Tomography scanners,Number,Estonia,2018,25,1.4,Low
Magnetic Resonance Imaging units,Number,Estonia,2018,18,1.26,Low
Positron Emission Tomography (PET) scanners,Number,Estonia,2018,3,0.48,Very Low
Gamma cameras,Number,Estonia,2018,3,0.48,Very Low
Mammographs,Number,Estonia,2018,14,1.15,Low
Radiation therapy equipment,Number,Estonia,2018,7,0.85,Very Low
Computed Tomography scanners,Number,Israel,2018,89,1.95,Low
Magnetic Resonance Imaging units,Number,Israel,2018,48,1.68,Low
Positron Emission Tomography (PET) scanners,Number,Israel,2018,11,1.04,Low
Gamma cameras,Number,Israel,2018,83,1.92,Low
Mammographs,Number,Israel,2018,96,1.98,Low
Radiation therapy equipment,Number,Israel,2018,35,1.54,Low
Computed Tomography scanners,Number,Russia,2018,1963,3.29,High
Magnetic Resonance Imaging units,Number,Russia,2018,711,2.85,Medium
Computed Tomography scanners,Number,Slovenia,2018,33,1.52,Low
Magnetic Resonance Imaging units,Number,Slovenia,2018,25,1.4,Low
Positron Emission Tomography (PET) scanners,Number,Slovenia,2018,3,0.48,Very Low
Gamma cameras,Number,Slovenia,2018,17,1.23,Low
Mammographs,Number,Slovenia,2018,33,1.52,Low
Radiation therapy equipment,Number,Slovenia,2018,13,1.11,Low
Computed Tomography scanners,Per million population,Australia,2018,67.33,1.83,Low
Magnetic Resonance Imaging units,Per million population,Australia,2018,14.1,1.15,Low
Positron Emission Tomography (PET) scanners,Per million population,Australia,2018,3.85,0.59,Very Low
Gamma cameras,Per million population,Australia,2018,18.83,1.27,Low
Radiation therapy equipment,Per million population,Australia,2018,10.61,1.03,Low
Computed Tomography scanners,Per million population,Austria,2018,28.84,1.46,Low
Magnetic Resonance Imaging units,Per million population,Austria,2018,23.53,1.37,Low
Positron Emission Tomography (PET) scanners,Per million population,Austria,2018,2.71,0.43,Very Low
Gamma cameras,Per million population,Austria,2018,10.52,1.02,Low
Mammographs,Per million population,Austria,2018,21.49,1.33,Low
Radiation therapy equipment,Per million population,Austria,2018,5.2,0.72,Very Low
Computed Tomography scanners,Per million population,Belgium,2018,23.89,1.38,Low
Magnetic Resonance Imaging units,Per million population,Belgium,2018,11.64,1.07,Low
Positron Emission Tomography (PET) scanners,Per million population,Belgium,2018,2.63,0.42,Very Low
Gamma cameras,Per million population,Belgium,2018,24.77,1.39,Low
Mammographs,Per million population,Belgium,2018,36.05,1.56,Low
Mammographs,Per million population,Canada,2018,18.05,1.26,Low
Radiation therapy equipment,Per million population,Canada,2018,2.99,0.48,Very Low
Computed Tomography scanners,Per million population,Czechia,2018,16.09,1.21,Low
Magnetic Resonance Imaging units,Per million population,Czechia,2018,10.35,1.01,Low
Positron Emission Tomography (PET) scanners,Per million population,Czechia,2018,1.6,0.2,Very Low
Gamma cameras,Per million population,Czechia,2018,11.95,1.08,Low
Mammographs,Per million population,Czechia,2018,11.19,1.05,Low
Radiation therapy equipment,Per million population,Czechia,2018,7.71,0.89,Very Low
Computed Tomography scanners,Per million population,Denmark,2018,39.7,1.6,Low
Positron Emission Tomography (PET) scanners,Per million population,Denmark,2018,7.94,0.9,Very Low
Gamma cameras,Per million population,Denmark,2018,15.19,1.18,Low
Mammographs,Per million population,Denmark,2018,16.4,1.21,Low
Radiation therapy equipment,Per million population,Denmark,2018,12.08,1.08,Low
Mammographs,Per million population,Australia,2018,23.75,1.38,Low
Magnetic Resonance Imaging units,Per million population,Finland,2018,27.38,1.44,Low
Positron Emission Tomography (PET) scanners,Per million population,Finland,2018,2.72,0.43,Very Low
Mammographs,Per million population,Finland,2018,28.28,1.45,Low
Radiation therapy equipment,Per million population,Finland,2018,10.33,1.01,Low
Computed Tomography scanners,Per million population,France,2018,17.63,1.25,Low
Magnetic Resonance Imaging units,Per million population,France,2018,14.73,1.17,Low
Positron Emission Tomography (PET) scanners,Per million population,France,2018,2.32,0.37,Very Low
Gamma cameras,Per million population,France,2018,6.94,0.84,Very Low
Computed Tomography scanners,Per million population,Germany,2018,35.33,1.55,Low
Magnetic Resonance Imaging units,Per million population,Germany,2018,34.47,1.54,Low
Computed Tomography scanners,Per million population,Greece,2018,40.62,1.61,Low
Magnetic Resonance Imaging units,Per million population,Greece,2018,29.35,1.47,Low
Positron Emission Tomography (PET) scanners,Per million population,Greece,2018,1.21,0.08,Very Low
Gamma cameras,Per million population,Greece,2018,13.88,1.14,Low
Mammographs,Per million population,Greece,2018,65.97,1.82,Low
Radiation therapy equipment,Per million population,Greece,2018,7.17,0.86,Very Low
Positron Emission Tomography (PET) scanners,Per million population,Hungary,2018,0.92,-0.04,Very Low
Computed Tomography scanners,Per million population,Iceland,2018,48.2,1.68,Low
Magnetic Resonance Imaging units,Per million population,Iceland,2018,19.85,1.3,Low
Positron Emission Tomography (PET) scanners,Per million population,Iceland,2018,2.84,0.45,Very Low
Gamma cameras,Per million population,Iceland,2018,8.51,0.93,Very Low
Mammographs,Per million population,Iceland,2018,17.01,1.23,Low
Radiation therapy equipment,Per million population,Iceland,2018,8.51,0.93,Very Low
Computed Tomography scanners,Per million population,Ireland,2018,20.34,1.31,Low
Magnetic Resonance Imaging units,Per million population,Ireland,2018,16.03,1.2,Low
Positron Emission Tomography (PET) scanners,Per million population,Ireland,2018,1.85,0.27,Very Low
Gamma cameras,Per million population,Ireland,2018,4.73,0.67,Very Low
Mammographs,Per million population,Ireland,2018,16.85,1.23,Low
Radiation therapy equipment,Per million population,Ireland,2018,10.07,1,Low
Computed Tomography scanners,Per million population,Italy,2018,35.15,1.55,Low
Magnetic Resonance Imaging units,Per million population,Italy,2018,28.68,1.46,Low
Positron Emission Tomography (PET) scanners,Per million population,Italy,2018,3.44,0.54,Very Low
Gamma cameras,Per million population,Italy,2018,7.66,0.88,Very Low
Mammographs,Per million population,Italy,2018,33.88,1.53,Low
Radiation therapy equipment,Per million population,Italy,2018,7.27,0.86,Very Low
Computed Tomography scanners,Per million population,Korea,2018,38.6,1.59,Low
Magnetic Resonance Imaging units,Per million population,Korea,2018,30.11,1.48,Low
Positron Emission Tomography (PET) scanners,Per million population,Korea,2018,3.78,0.58,Very Low
Gamma cameras,Per million population,Korea,2018,5.93,0.77,Very Low
Mammographs,Per million population,Korea,2018,61.63,1.79,Low
Radiation therapy equipment,Per million population,Korea,2018,6.24,0.8,Very Low
Computed Tomography scanners,Per million population,Luxembourg,2018,16.45,1.22,Low
Magnetic Resonance Imaging units,Per million population,Luxembourg,2018,11.51,1.06,Low
Positron Emission Tomography (PET) scanners,Per million population,Luxembourg,2018,1.64,0.21,Very Low
Gamma cameras,Per million population,Luxembourg,2018,11.51,1.06,Low
Mammographs,Per million population,Luxembourg,2018,11.51,1.06,Low
Radiation therapy equipment,Per million population,Luxembourg,2018,8.22,0.91,Very Low
Computed Tomography scanners,Per million population,Mexico,2018,5.92,0.77,Very Low
Magnetic Resonance Imaging units,Per million population,Mexico,2018,2.55,0.41,Very Low
Positron Emission Tomography (PET) scanners,Per million population,Mexico,2018,0.22,-0.66,Very Low
Gamma cameras,Per million population,Mexico,2018,0.42,-0.38,Very Low
Mammographs,Per million population,Mexico,2018,9.66,0.98,Very Low
Radiation therapy equipment,Per million population,Mexico,2018,2.13,0.33,Very Low
Computed Tomography scanners,Per million population,Netherlands,2018,14.22,1.15,Low
Magnetic Resonance Imaging units,Per million population,Netherlands,2018,13.06,1.12,Low
Positron Emission Tomography (PET) scanners,Per million population,Netherlands,2018,4.7,0.67,Very Low
Gamma cameras,Per million population,Netherlands,2018,8.18,0.91,Very Low
Computed Tomography scanners,Per million population,New Zealand,2018,15.51,1.19,Low
Magnetic Resonance Imaging units,Per million population,New Zealand,2018,14.69,1.17,Low
Positron Emission Tomography (PET) scanners,Per million population,New Zealand,2018,1.02,0.01,Very Low
Gamma cameras,Per million population,New Zealand,2018,3.67,0.56,Very Low
Mammographs,Per million population,New Zealand,2018,19.79,1.3,Low
Mammographs,Per million population,Norway,2018,9.79,0.99,Very Low
Radiation therapy equipment,Per million population,New Zealand,2018,8.77,0.94,Very Low
Computed Tomography scanners,Per million population,Norway,2018,19.39,1.29,Low
Magnetic Resonance Imaging units,Per million population,Norway,2018,9.6,0.98,Very Low
Positron Emission Tomography (PET) scanners,Per million population,Norway,2018,1.13,0.05,Very Low
Gamma cameras,Per million population,Norway,2018,2.64,0.42,Very Low
Radiation therapy equipment,Per million population,Norway,2018,11.86,1.07,Low
Computed Tomography scanners,Per million population,Poland,2018,18.14,1.26,Low
Magnetic Resonance Imaging units,Per million population,Poland,2018,9.22,0.96,Very Low
Positron Emission Tomography (PET) scanners,Per million population,Poland,2018,0.87,-0.06,Very Low
Gamma cameras,Per million population,Poland,2018,3.69,0.57,Very Low
Mammographs,Per million population,Poland,2018,9.98,1,Very Low
Radiation therapy equipment,Per million population,Poland,2018,5.16,0.71,Very Low
Computed Tomography scanners,Per million population,Slovak Republic,2018,18.36,1.26,Low
Magnetic Resonance Imaging units,Per million population,Slovak Republic,2018,9.55,0.98,Very Low
Positron Emission Tomography (PET) scanners,Per million population,Slovak Republic,2018,1.47,0.17,Very Low
Gamma cameras,Per million population,Slovak Republic,2018,5.51,0.74,Very Low
Mammographs,Per million population,Slovak Republic,2018,18.36,1.26,Low
Radiation therapy equipment,Per million population,Slovak Republic,2018,10.83,1.03,Low
Computed Tomography scanners,Per million population,Spain,2018,19.12,1.28,Low
Magnetic Resonance Imaging units,Per million population,Spain,2018,17.2,1.24,Low
Positron Emission Tomography (PET) scanners,Per million population,Spain,2018,1.79,0.25,Very Low
Gamma cameras,Per million population,Spain,2018,6.6,0.82,Very Low
Mammographs,Per million population,Spain,2018,16.24,1.21,Low
Radiation therapy equipment,Per million population,Spain,2018,5.02,0.7,Very Low
Computed Tomography scanners,Per million population,Sweden,2018,18.67,1.27,Low
Magnetic Resonance Imaging units,Per million population,Sweden,2018,14.15,1.15,Low
Positron Emission Tomography (PET) scanners,Per million population,Sweden,2018,1.87,0.27,Very Low
Gamma cameras,Per million population,Sweden,2018,7.17,0.86,Very Low
Mammographs,Per million population,Sweden,2018,13.46,1.13,Low
Radiation therapy equipment,Per million population,Sweden,2018,6.98,0.84,Very Low
Computed Tomography scanners,Per million population,Switzerland,2018,38.76,1.59,Low
Positron Emission Tomography (PET) scanners,Per million population,Switzerland,2018,3.76,0.58,Very Low
Mammographs,Per million population,Switzerland,2018,29.01,1.46,Low
Radiation therapy equipment,Per million population,Switzerland,2018,19.03,1.28,Low
Computed Tomography scanners,Per million population,Turkish,2018,14.88,1.17,Low
Magnetic Resonance Imaging units,Per million population,Turkish,2018,11.24,1.05,Low
Positron Emission Tomography (PET) scanners,Per million population,Turkish,2018,1.61,0.21,Very Low
Gamma cameras,Per million population,Turkish,2018,3.29,0.52,Very Low
Mammographs,Per million population,Turkish,2018,11.87,1.07,Low
Radiation therapy equipment,Per million population,Turkish,2018,2.75,0.44,Very Low
Computed Tomography scanners,Per million population,United States,2018,44.53,1.65,Low
Magnetic Resonance Imaging units,Per million population,United States,2018,39.22,1.59,Low
Positron Emission Tomography (PET) scanners,Per million population,United States,2018,5.25,0.72,Very Low
Mammographs,Per million population,United States,2018,59.86,1.78,Low
Radiation therapy equipment,Per million population,United States,2018,11.57,1.06,Low
Computed Tomography scanners,Per million population,Brazil,2018,23.09,1.36,Low
Magnetic Resonance Imaging units,Per million population,Brazil,2018,12.36,1.09,Low
Computed Tomography scanners,Per million population,Estonia,2018,18.91,1.28,Low
Magnetic Resonance Imaging units,Per million population,Estonia,2018,13.62,1.13,Low
Positron Emission Tomography (PET) scanners,Per million population,Estonia,2018,2.27,0.36,Very Low
Gamma cameras,Per million population,Estonia,2018,2.27,0.36,Very Low
Mammographs,Per million population,Estonia,2018,10.59,1.02,Low
Radiation therapy equipment,Per million population,Estonia,2018,5.3,0.72,Very Low
Computed Tomography scanners,Per million population,Israel,2018,10.02,1,Low
Magnetic Resonance Imaging units,Per million population,Israel,2018,5.4,0.73,Very Low
Positron Emission Tomography (PET) scanners,Per million population,Israel,2018,1.24,0.09,Very Low
Gamma cameras,Per million population,Israel,2018,9.34,0.97,Very Low
Mammographs,Per million population,Israel,2018,10.81,1.03,Low
Radiation therapy equipment,Per million population,Israel,2018,3.94,0.6,Very Low
Computed Tomography scanners,Per million population,Russia,2018,13.37,1.13,Low
Magnetic Resonance Imaging units,Per million population,Russia,2018,4.84,0.68,Very Low
Computed Tomography scanners,Per million population,Slovenia,2018,15.91,1.2,Low
Magnetic Resonance Imaging units,Per million population,Slovenia,2018,12.05,1.08,Low
Positron Emission Tomography (PET) scanners,Per million population,Slovenia,2018,1.45,0.16,Very Low
Gamma cameras,Per million population,Slovenia,2018,8.2,0.91,Very Low
Mammographs,Per million population,Slovenia,2018,15.91,1.2,Low
Radiation therapy equipment,Per million population,Slovenia,2018,6.27,0.8,Very Low
Magnetic Resonance Imaging units,Number,Latvia,2018,26,1.41,Low
Mammographs,Number,Lithuania,2018,44,1.64,Low
Computed Tomography scanners,Number,Latvia,2018,74,1.87,Low
Radiation therapy equipment,Number,Lithuania,2018,23,1.36,Low
Radiation therapy equipment,Per million population,Latvia,2018,5.71,0.76,Very Low
Mammographs,Per million population,Latvia,2018,26.46,1.42,Low
Radiation therapy equipment,Per million population,Lithuania,2018,8.21,0.91,Very Low
Radiation therapy equipment,Number,Latvia,2018,11,1.04,Low
Mammographs,Per million population,Lithuania,2018,15.71,1.2,Low
Computed Tomography scanners,Per million population,Latvia,2018,38.4,1.58,Low
Positron Emission Tomography (PET) scanners,Number,Lithuania,2018,2,0.3,Very Low
Magnetic Resonance Imaging units,Number,Lithuania,2018,35,1.54,Low
Positron Emission Tomography (PET) scanners,Per million population,Latvia,2018,1.04,0.02,Very Low
Magnetic Resonance Imaging units,Per million population,Latvia,2018,13.49,1.13,Low
Gamma cameras,Per million population,Latvia,2018,3.63,0.56,Very Low
